aap2145,50
acb2195,90
am3241,50
ame2154,96
amv2142,95
an2505,105
ar3015,95
as4194,90
bar2150,105
bc2490,105
bj2240,50
bjn2116,50
bms2156,90
cp2551,50
crg2133,105
cs3022,96
ddd2124,95
dgf2106,76
dkd2110,90
dlp2136,90
fv2164,95
gc2513,94
gh2162,58
gwc2124,90
hgv2103,90
hm2528,95
hy2326,76
idc2114,95
iw2171,80
jcc2220,105
jj2560,100
jj2562,81
jsc2197,105
jzf2101,96
kds2124,105
kt2384,90
ln2266,96
mad2200,85
mmd2165,95
mz2332,98
og2165,85
pr2390,85
pw2336,90
rz2227,90
sh2725,104
siz2102,90
skk2142,95
sm3376,85
sq2139,76
ss4100,85
ss4173,76
sz2338,90
tbp2108,100
tg2342,76
vsi2101,70
wg2216,70
xz2275,99
yd2234,98
yk2463,100
yn2230,98
yz2416,50
