UNI,hw1
Total_points,100
al2921,100
amw2192,95
as3920,76
as3923,85
bag2117,85
bc2252,90
cjf2148,90
cz2224,85
dak2135,90
fk2224,85
fll2109,90
fs2282,90
ht2296,90
jam2291,98
jc3660,90
jcl2175,95
jh2203,90
jl3545,90
jrz2111,90
kls2166,95
klt2127,90
kt2396,90
mjg2152,85
mlh2163,70
mns2124,50
mra2110,50
mz2189,95
nib2106,95
plc2124,85
ql2166,75
rmt2121,95
rs3089,50
rxl2102,95
sa2275,99
sdr2109,85
ss2857,90
ssz2105,94
uda2001,90
wdn2101,100
ww2243,61
ww2265,95
yyh2106,95
